value_euro,age,release_clause_euro,sprint_speed,dribbling,position
50,18,119,66,45,Defense
50,19,94,23,11,Goalkeeper
50,18,113,29,6,Goalkeeper
60,19,143,60,45,Midfield
30,20,50,31,5,Goalkeeper
50,19,99,17,14,Goalkeeper
60,18,113,58,42,Forward
60,19,113,63,50,Midfield
50,21,109,16,12,Goalkeeper
50,19,94,30,11,Goalkeeper
50,20,93,53,25,Defense
50,18,131,22,8,Goalkeeper
50,19,88,64,45,Midfield
50,18,94,61,45,Midfield
60,18,125,59,48,Midfield
50,21,110,61,47,Midfield
60,19,113,67,51,Midfield
60,21,113,71,46,Midfield
50,19,119,64,46,Defense
60,20,131,56,59,Midfield
50,18,99,57,47,Defense
30,21,71,22,9,Goalkeeper
70,21,166,68,51,Forward
40,22,94,65,54,Forward
60,19,113,72,60,Defense
50,18,128,52,29,Defense
50,19,104,66,57,Midfield
50,21,118,65,51,Midfield
60,19,131,61,47,Midfield
50,21,99,65,22,Defense
20,28,45,31,13,Goalkeeper
50,18,94,61,54,Defense
60,19,113,60,46,Forward
50,17,94,58,47,Defense
50,18,126,15,5,Goalkeeper
50,20,94,31,13,Goalkeeper
50,17,138,20,9,Goalkeeper
60,20,131,68,47,Defense
30,21,65,31,9,Goalkeeper
70,20,138,59,64,Forward
50,19,99,57,20,Defense
60,20,119,55,38,Defense
30,20,50,31,13,Goalkeeper
50,19,94,56,46,Midfield
60,21,143,65,49,Midfield
40,19,58,36,6,Goalkeeper
60,18,119,62,60,Forward
50,18,94,34,10,Goalkeeper
40,24,91,65,44,Midfield
50,20,98,58,43,Midfield
40,22,96,64,28,Defense
40,21,70,59,22,Defense
50,21,78,58,54,Midfield
40,21,94,55,25,Defense
60,19,113,66,50,Midfield
70,18,193,59,54,Forward
30,25,40,48,14,Goalkeeper
20,28,27,28,19,Goalkeeper
60,19,170,56,43,Forward
60,18,144,69,44,Midfield
40,20,58,55,27,Defense
50,19,94,60,32,Defense
50,19,78,68,49,Midfield
40,24,78,67,45,Midfield
60,22,99,60,46,Midfield
60,21,117,74,55,Defense
50,22,118,28,12,Goalkeeper
70,18,131,60,44,Midfield
60,19,143,29,9,Goalkeeper
80,18,202,59,39,Midfield
70,19,194,63,48,Defense
70,18,138,69,52,Midfield
70,17,158,59,28,Defense
80,19,150,55,49,Forward
60,19,93,69,49,Midfield
80,18,200,60,49,Midfield
70,20,138,30,11,Goalkeeper
80,17,200,47,41,Forward
60,17,119,29,10,Goalkeeper
60,19,152,24,8,Goalkeeper
50,23,118,80,33,Defense
60,21,126,67,52,Midfield
40,29,86,45,45,Midfield
50,21,85,27,8,Goalkeeper
50,18,98,77,40,Defense
40,25,65,56,29,Defense
70,18,131,61,54,Midfield
40,18,78,64,34,Defense
80,17,196,64,51,Midfield
50,21,98,24,11,Goalkeeper
60,22,141,76,45,Midfield
80,19,188,62,48,Midfield
60,20,113,57,45,Midfield
70,20,177,38,11,Goalkeeper
70,17,158,65,50,Midfield
50,23,85,64,24,Defense
70,20,152,67,52,Defense
80,18,200,62,52,Midfield
70,20,152,69,41,Defense
80,17,180,64,47,Forward
40,19,62,33,7,Goalkeeper
80,18,150,66,53,Midfield
80,18,150,67,46,Forward
70,17,158,68,52,Forward
50,21,118,70,51,Forward
70,19,131,73,48,Midfield
50,23,118,62,44,Midfield
70,21,109,68,58,Midfield
70,17,166,63,54,Midfield
80,18,150,50,51,Midfield
70,19,166,56,39,Defense
70,18,131,65,48,Midfield
70,19,166,55,40,Forward
60,18,125,32,7,Goalkeeper
80,19,174,71,51,Forward
60,18,131,22,7,Goalkeeper
70,19,138,63,56,Midfield
80,20,150,56,46,Midfield
70,20,138,61,39,Defense
80,19,220,67,53,Midfield
60,21,105,52,44,Forward
70,19,131,62,33,Defense
50,24,73,63,49,Midfield
60,20,117,69,59,Midfield
80,19,166,61,48,Midfield
80,19,174,66,50,Midfield
80,19,174,69,46,Forward
70,17,131,67,49,Midfield
70,18,135,59,25,Defense
60,20,87,66,53,Midfield
80,18,150,60,51,Midfield
70,18,224,67,49,Midfield
60,17,143,70,51,Defense
50,20,98,68,26,Defense
60,20,141,71,50,Forward
50,21,88,67,45,Defense
50,20,118,58,20,Defense
40,18,62,32,6,Goalkeeper
70,17,193,62,49,Midfield
60,20,87,65,61,Forward
40,23,68,25,7,Goalkeeper
70,20,166,63,30,Defense
80,18,220,63,44,Midfield
70,20,131,62,46,Midfield
60,18,113,64,57,Defense
70,17,175,65,29,Defense
70,18,175,52,27,Defense
60,20,102,63,48,Midfield
70,18,131,61,52,Forward
50,19,73,24,9,Goalkeeper
70,17,131,55,29,Defense
70,18,152,66,53,Midfield
110,17,259,68,43,Forward
110,17,303,64,50,Midfield
80,17,190,16,8,Goalkeeper
70,23,100,55,42,Forward
80,17,200,30,8,Goalkeeper
80,18,154,41,6,Goalkeeper
60,22,93,28,6,Goalkeeper
100,19,235,62,55,Midfield
100,20,278,61,48,Defense
30,32,38,26,4,Goalkeeper
100,19,188,63,51,Midfield
70,19,116,43,48,Midfield
70,20,147,29,7,Goalkeeper
100,18,213,70,55,Midfield
80,19,124,59,31,Defense
60,18,87,44,12,Goalkeeper
90,19,169,34,7,Goalkeeper
90,19,178,64,45,Midfield
40,31,50,50,26,Defense
60,22,134,67,50,Midfield
40,31,50,48,27,Defense
110,20,206,59,49,Midfield
70,23,114,55,53,Midfield
80,18,150,55,46,Defense
70,21,168,26,18,Goalkeeper
90,19,167,64,52,Forward
70,22,100,31,42,Forward
110,20,256,64,52,Midfield
100,18,188,65,43,Forward
90,18,169,69,42,Defense
90,21,227,38,11,Goalkeeper
70,20,137,52,29,Defense
110,20,261,67,44,Forward
90,17,221,65,26,Defense
100,20,238,71,55,Forward
90,20,140,64,45,Midfield
70,21,165,68,58,Forward
70,22,137,67,56,Midfield
100,20,188,55,31,Defense
10,40,22,44,62,Midfield
90,17,187,61,49,Defense
70,23,102,62,46,Midfield
100,17,188,78,51,Midfield
70,21,165,60,20,Defense
90,19,178,63,31,Defense
50,25,76,17,13,Goalkeeper
60,22,141,69,26,Defense
90,17,169,56,42,Midfield
100,18,198,69,49,Forward
70,22,102,18,5,Goalkeeper
90,19,248,25,11,Goalkeeper
90,18,169,68,51,Defense
60,21,111,26,9,Goalkeeper
70,23,165,54,49,Forward
50,24,88,51,15,Goalkeeper
80,19,116,69,54,Forward
70,20,123,52,47,Midfield
90,21,214,69,46,Defense
110,19,206,61,39,Forward
80,19,150,24,14,Goalkeeper
100,17,278,60,54,Midfield
90,19,200,20,7,Goalkeeper
60,22,93,56,51,Defense
60,19,93,59,51,Defense
100,20,188,61,51,Midfield
80,19,158,61,32,Defense
80,19,116,62,52,Forward
110,19,217,68,55,Midfield
90,20,140,68,45,Forward
90,19,196,66,52,Midfield
100,19,188,66,57,Midfield
50,24,85,16,14,Goalkeeper
80,18,166,36,6,Goalkeeper
90,18,169,68,47,Midfield
80,21,156,56,58,Defense
100,18,235,59,49,Midfield
110,19,206,61,45,Forward
110,19,228,68,50,Midfield
90,19,227,31,13,Goalkeeper
60,21,105,23,11,Goalkeeper
110,20,261,64,52,Midfield
110,18,248,61,54,Midfield
100,19,188,65,51,Midfield
100,18,188,69,47,Midfield
80,22,156,67,56,Midfield
110,20,239,61,51,Midfield
60,20,93,22,7,Goalkeeper
100,19,238,77,52,Forward
60,20,132,25,9,Goalkeeper
110,17,303,74,47,Forward
100,20,198,61,24,Defense
70,21,116,63,50,Defense
110,19,261,63,52,Midfield
40,30,50,57,28,Defense
70,20,109,63,52,Forward
100,17,198,60,56,Forward
100,17,188,73,54,Forward
70,18,109,63,54,Midfield
70,21,102,75,46,Midfield
90,17,234,36,15,Goalkeeper
80,21,150,32,9,Goalkeeper
60,20,105,57,53,Defense
60,22,105,16,6,Goalkeeper
100,18,218,66,53,Midfield
70,21,133,60,46,Midfield
40,28,86,61,46,Defense
90,18,248,20,8,Goalkeeper
100,19,235,20,11,Goalkeeper
40,32,62,61,52,Midfield
100,18,188,63,56,Forward
80,21,192,82,63,Midfield
80,20,116,60,52,Defense
100,18,238,79,51,Forward
80,20,150,28,15,Goalkeeper
70,19,102,60,39,Defense
60,20,87,19,8,Goalkeeper
80,22,140,59,53,Midfield
60,21,117,33,10,Goalkeeper
80,21,148,65,51,Midfield
100,20,195,69,55,Midfield
120,18,225,65,56,Forward
130,19,296,69,58,Midfield
100,17,208,28,6,Goalkeeper
90,22,167,54,47,Forward
110,20,278,66,54,Defense
60,22,93,23,7,Goalkeeper
110,20,261,76,55,Defense
100,21,165,71,59,Midfield
80,21,116,60,32,Defense
70,22,123,26,15,Goalkeeper
10,37,15,16,12,Goalkeeper
110,18,217,62,32,Defense
130,20,361,75,42,Forward
120,19,285,60,47,Midfield
120,18,255,63,46,Midfield
70,23,137,37,14,Goalkeeper
90,22,212,75,61,Forward
70,22,156,63,52,Midfield
110,19,206,67,52,Forward
120,17,270,67,45,Midfield
110,19,261,55,50,Defense
80,20,132,55,27,Defense
120,20,225,72,47,Defense
110,17,245,62,44,Midfield
120,18,225,63,54,Midfield
110,18,206,50,30,Defense
80,24,124,65,50,Midfield
110,18,259,32,21,Goalkeeper
90,19,214,55,25,Defense
120,17,231,65,58,Midfield
120,18,282,57,20,Defense
110,19,270,65,46,Defense
100,18,238,73,42,Defense
120,19,243,55,56,Forward
100,20,195,85,46,Forward
80,22,116,32,6,Goalkeeper
90,20,191,18,8,Goalkeeper
70,20,123,26,12,Goalkeeper
110,21,261,64,57,Midfield
80,20,156,63,54,Forward
110,18,278,61,33,Defense
60,24,134,54,18,Goalkeeper
110,18,206,61,30,Defense
80,23,148,74,53,Midfield
80,21,192,78,23,Defense
90,22,131,61,50,Midfield
130,21,296,67,62,Midfield
80,23,148,69,43,Midfield
80,21,192,34,12,Goalkeeper
70,22,168,36,7,Goalkeeper
60,26,80,63,29,Defense
80,22,116,63,55,Midfield
80,21,188,72,59,Defense
110,20,160,60,47,Forward
90,22,131,74,52,Forward
110,19,278,75,53,Defense
130,18,312,64,53,Midfield
100,19,223,32,8,Goalkeeper
110,19,206,79,50,Defense
110,18,206,64,26,Defense
70,23,109,46,17,Goalkeeper
90,20,176,62,30,Defense
60,26,92,30,14,Goalkeeper
60,26,134,57,54,Defense
70,24,102,26,9,Goalkeeper
60,24,141,30,13,Goalkeeper
120,18,225,70,55,Forward
120,18,237,60,62,Midfield
80,18,156,63,50,Forward
50,27,108,59,23,Defense
120,19,225,64,54,Forward
110,19,270,65,35,Defense
70,21,130,33,10,Goalkeeper
130,17,306,60,59,Midfield
110,19,261,73,50,Midfield
130,20,270,67,53,Midfield
100,20,188,44,21,Goalkeeper
120,17,237,55,45,Forward
110,20,261,55,24,Defense
100,20,175,66,43,Forward
110,20,228,65,59,Midfield
110,18,261,58,25,Defense
130,19,276,55,51,Midfield
70,21,137,70,60,Defense
90,22,212,55,50,Midfield
90,18,131,53,50,Forward
70,18,109,73,52,Defense
90,22,131,64,52,Midfield
90,20,171,39,60,Midfield
130,19,361,63,53,Forward
100,20,165,60,51,Midfield
120,19,261,70,59,Forward
100,20,208,32,9,Goalkeeper
100,18,188,60,38,Defense
120,19,267,67,58,Forward
90,19,158,63,22,Defense
110,20,261,51,34,Defense
120,18,231,61,53,Forward
130,21,328,77,50,Midfield
120,18,300,57,28,Defense
90,22,131,55,49,Midfield
120,19,225,59,56,Forward
120,17,237,61,62,Forward
100,19,203,26,10,Goalkeeper
120,21,303,56,30,Defense
100,19,253,25,14,Goalkeeper
90,22,176,74,52,Forward
110,20,217,66,57,Midfield
100,18,155,73,58,Midfield
70,18,109,26,11,Goalkeeper
120,19,315,60,52,Midfield
80,22,124,85,53,Defense
90,20,149,55,30,Defense
100,22,240,75,56,Forward
100,18,238,69,47,Midfield
110,17,319,30,11,Goalkeeper
110,17,270,26,14,Goalkeeper
70,21,116,67,56,Midfield
130,19,263,79,57,Midfield
110,18,228,56,46,Midfield
100,20,155,63,53,Midfield
80,19,124,31,14,Goalkeeper
110,20,239,51,43,Midfield
90,23,212,76,49,Midfield
130,20,244,64,53,Midfield
90,19,189,63,32,Defense
120,19,285,75,62,Forward
110,19,261,59,31,Defense
60,27,92,59,49,Defense
80,22,156,47,21,Goalkeeper
130,21,270,59,45,Forward
80,23,156,62,50,Midfield
50,23,71,18,12,Goalkeeper
100,20,203,20,12,Goalkeeper
100,19,195,75,53,Midfield
50,25,111,41,18,Goalkeeper
100,20,155,60,52,Midfield
100,20,238,72,57,Defense
110,20,217,72,56,Midfield
120,18,255,70,54,Forward
120,17,300,60,52,Forward
130,20,309,64,49,Forward
130,19,341,65,56,Midfield
110,20,289,64,55,Defense
120,19,285,67,45,Midfield
110,20,261,34,19,Goalkeeper
120,18,225,66,45,Forward
130,20,270,65,53,Midfield
110,18,245,66,55,Defense
110,19,228,55,24,Defense
120,17,225,66,63,Midfield
110,18,160,61,46,Forward
70,19,109,23,12,Goalkeeper
110,20,215,52,25,Defense
110,19,193,70,55,Midfield
90,24,119,63,49,Midfield
70,18,137,27,13,Goalkeeper
130,20,270,52,36,Defense
130,18,309,63,51,Defense
130,18,283,66,48,Midfield
150,20,281,68,43,Midfield
130,20,328,59,25,Defense
130,18,309,63,58,Midfield
110,21,212,24,16,Goalkeeper
90,26,200,64,54,Forward
120,22,186,67,48,Midfield
140,19,263,68,58,Midfield
140,19,333,68,48,Forward
140,19,305,66,59,Forward
70,28,151,54,52,Midfield
130,20,283,62,26,Defense
70,30,151,56,43,Forward
130,19,328,73,53,Defense
130,20,270,60,49,Midfield
140,21,298,56,24,Defense
130,18,257,68,50,Midfield
120,21,333,76,22,Defense
140,19,291,69,63,Midfield
120,20,255,31,7,Goalkeeper
130,19,358,57,29,Defense
100,19,165,66,38,Defense
130,18,283,70,57,Midfield
130,17,338,72,27,Defense
140,18,277,72,53,Midfield
100,22,195,44,8,Goalkeeper
110,19,228,29,13,Goalkeeper
130,17,338,70,59,Defense
130,19,309,61,58,Midfield
90,21,212,30,19,Goalkeeper
140,18,354,70,52,Midfield
120,19,255,30,10,Goalkeeper
120,20,186,75,58,Midfield
100,23,170,54,58,Forward
110,19,303,31,6,Goalkeeper
90,22,167,63,43,Defense
20,39,25,33,48,Midfield
90,19,149,65,37,Defense
120,21,255,26,9,Goalkeeper
140,19,263,73,54,Forward
150,17,345,75,57,Forward
140,19,263,69,55,Midfield
80,24,148,65,38,Defense
90,23,131,61,58,Midfield
120,21,174,62,58,Forward
90,18,131,68,46,Defense
140,19,368,69,50,Midfield
140,19,291,66,57,Forward
110,19,206,60,35,Defense
120,21,297,47,20,Goalkeeper
90,18,169,17,9,Goalkeeper
140,20,263,63,57,Midfield
110,18,171,75,59,Midfield
110,19,171,70,54,Midfield
110,21,259,52,42,Forward
140,21,263,62,26,Defense
130,19,293,65,44,Defense
120,20,198,67,64,Forward
120,20,237,26,9,Goalkeeper
140,19,277,72,60,Midfield
110,21,182,68,49,Forward
80,23,148,66,32,Defense
150,21,416,78,53,Midfield
90,22,176,53,58,Defense
130,19,257,57,56,Defense
110,20,261,70,38,Defense
150,18,480,66,50,Midfield
120,19,174,66,52,Midfield
120,18,330,78,45,Defense
140,18,263,70,48,Forward
140,20,291,66,43,Midfield
90,18,158,59,54,Defense
110,18,259,21,12,Goalkeeper
120,18,237,66,29,Defense
110,18,234,25,6,Goalkeeper
130,19,289,60,52,Defense
100,23,145,75,57,Forward
130,19,244,73,47,Defense
110,22,171,64,49,Midfield
100,21,155,66,61,Midfield
100,22,235,78,45,Forward
130,18,328,74,29,Defense
100,18,165,70,52,Forward
70,25,110,22,6,Goalkeeper
130,18,306,70,44,Midfield
120,22,216,62,49,Midfield
80,20,116,29,15,Goalkeeper
110,19,160,59,54,Midfield
120,18,348,20,6,Goalkeeper
130,20,257,69,48,Midfield
110,19,289,20,5,Goalkeeper
120,21,237,75,50,Midfield
90,23,131,67,64,Forward
110,22,242,64,54,Midfield
120,19,225,28,6,Goalkeeper
70,25,165,24,12,Goalkeeper
80,22,116,24,11,Goalkeeper
100,20,175,54,57,Defense
100,20,195,85,48,Forward
110,19,171,57,55,Forward
120,21,174,66,49,Forward
150,18,375,69,55,Forward
150,17,413,71,45,Forward
150,17,353,79,45,Midfield
130,19,270,56,51,Midfield
70,24,130,24,7,Goalkeeper
130,18,309,75,56,Midfield
150,20,379,64,57,Midfield
110,21,215,73,48,Forward
140,18,326,63,56,Midfield
120,18,249,65,49,Defense
130,18,244,69,64,Midfield
90,22,167,50,35,Defense
100,20,195,77,56,Midfield
70,24,100,56,20,Defense
110,21,160,53,50,Forward
130,17,244,61,53,Midfield
150,18,435,77,55,Forward
130,21,361,74,60,Midfield
150,20,311,71,49,Forward
150,18,435,67,55,Midfield
130,18,302,51,60,Midfield
120,20,255,15,14,Goalkeeper
130,21,328,54,54,Defense
80,23,140,38,32,Defense
70,22,105,20,9,Goalkeeper
150,19,334,69,61,Midfield
20,36,35,22,14,Goalkeeper
70,24,105,24,10,Goalkeeper
130,19,263,62,30,Defense
140,20,277,64,58,Midfield
90,19,131,50,50,Defense
130,21,276,66,47,Midfield
120,18,378,60,30,Defense
130,19,309,65,54,Midfield
130,18,244,67,49,Midfield
130,19,309,58,50,Defense
140,19,333,77,56,Forward
100,22,145,58,56,Forward
150,17,345,77,55,Forward
140,18,263,85,53,Forward
100,20,195,82,51,Defense
110,20,171,60,57,Forward
130,19,296,61,30,Defense
80,23,116,69,50,Defense
150,20,356,69,60,Midfield
110,20,160,74,42,Forward
90,19,176,62,53,Defense
90,20,153,22,7,Goalkeeper
150,20,356,76,51,Midfield
90,22,212,83,46,Defense
100,19,145,55,54,Forward
90,24,140,56,50,Midfield
150,19,424,73,50,Forward
80,23,124,54,25,Defense
120,21,186,67,55,Midfield
130,20,309,48,25,Defense
150,20,311,69,57,Midfield
90,23,140,61,59,Midfield
110,19,193,61,55,Forward
90,21,176,30,7,Goalkeeper
110,18,259,32,13,Goalkeeper
110,20,239,48,11,Goalkeeper
130,20,276,60,53,Defense
130,19,270,64,48,Midfield
90,20,158,52,26,Defense
100,21,195,41,18,Goalkeeper
150,18,353,67,62,Midfield
150,20,281,82,44,Forward
140,18,350,70,54,Forward
130,19,309,71,28,Defense
110,18,303,43,7,Goalkeeper
90,21,140,66,55,Midfield
90,19,131,63,50,Defense
150,20,293,68,54,Midfield
140,21,203,66,47,Midfield
130,22,273,42,12,Goalkeeper
140,21,203,64,54,Midfield
180,20,356,53,45,Midfield
190,21,451,59,55,Midfield
120,18,234,54,20,Defense
130,21,215,44,29,Defense
180,19,455,59,50,Forward
130,20,254,61,53,Defense
170,20,404,70,51,Defense
80,32,108,59,53,Forward
160,21,232,68,59,Midfield
100,24,195,60,60,Defense
110,26,245,66,46,Midfield
110,23,201,74,53,Forward
80,26,126,27,10,Goalkeeper
180,18,495,58,54,Midfield
190,19,356,69,58,Midfield
70,30,93,33,11,Goalkeeper
160,20,316,31,12,Goalkeeper
140,20,266,54,65,Defense
100,24,235,53,23,Defense
100,25,143,58,35,Defense
90,28,194,66,54,Forward
90,26,160,46,62,Defense
160,19,348,72,57,Midfield
170,20,370,57,30,Defense
170,21,336,68,59,Midfield
130,22,306,20,16,Goalkeeper
180,18,356,59,49,Forward
120,21,186,68,53,Midfield
180,18,486,79,48,Forward
140,22,329,69,53,Midfield
170,19,429,52,37,Defense
100,24,145,74,55,Defense
110,21,198,54,26,Defense
160,18,360,23,14,Goalkeeper
100,23,235,81,57,Defense
160,20,316,29,5,Goalkeeper
120,21,222,38,12,Goalkeeper
120,23,282,66,60,Midfield
160,17,300,63,40,Defense
140,18,333,29,13,Goalkeeper
180,18,401,55,54,Forward
100,23,195,69,51,Defense
120,24,210,65,54,Forward
100,25,183,54,22,Defense
190,20,470,67,52,Midfield
90,23,176,40,18,Goalkeeper
70,30,151,72,46,Defense
70,30,109,45,51,Defense
150,20,311,52,35,Defense
110,23,171,42,12,Goalkeeper
170,20,370,48,45,Defense
140,21,273,66,30,Defense
180,19,338,65,55,Midfield
160,17,300,53,28,Defense
130,22,228,63,54,Midfield
140,19,263,62,52,Defense
180,17,374,69,63,Forward
190,17,475,71,66,Midfield
180,20,338,64,35,Defense
80,25,106,32,10,Goalkeeper
160,18,364,70,49,Defense
150,19,311,29,8,Goalkeeper
90,28,194,67,51,Midfield
160,19,300,69,64,Forward
120,24,174,61,55,Midfield
180,18,473,64,59,Midfield
110,19,182,27,13,Goalkeeper
150,21,311,66,49,Defense
160,19,316,15,5,Goalkeeper
120,24,210,55,50,Defense
190,17,466,65,60,Midfield
170,19,429,63,48,Defense
130,19,254,75,50,Defense
190,17,523,64,52,Midfield
90,24,119,31,8,Goalkeeper
120,24,186,66,61,Midfield
180,19,338,69,57,Forward
170,21,429,68,55,Midfield
190,20,375,71,56,Forward
120,18,174,60,31,Defense
110,23,215,29,9,Goalkeeper
190,19,451,65,42,Forward
140,22,336,70,53,Forward
120,22,288,51,27,Defense
180,18,428,66,50,Midfield
110,23,171,25,12,Goalkeeper
130,21,228,44,13,Goalkeeper
150,22,218,83,61,Midfield
110,25,146,77,55,Midfield
70,27,93,24,11,Goalkeeper
160,19,404,60,45,Defense
190,20,451,72,54,Midfield
190,19,451,66,56,Forward
130,20,309,28,7,Goalkeeper
160,21,312,80,56,Midfield
120,22,174,65,57,Midfield
90,24,198,38,12,Goalkeeper
130,20,189,66,57,Midfield
100,24,155,16,9,Goalkeeper
140,20,266,71,58,Midfield
120,19,198,21,16,Goalkeeper
160,18,380,63,53,Midfield
180,19,356,67,56,Forward
110,22,171,60,45,Defense
130,20,257,31,7,Goalkeeper
190,20,499,63,56,Midfield
110,26,146,63,53,Midfield
30,35,53,41,52,Defense
150,20,356,79,50,Defense
70,30,109,53,46,Defense
70,30,109,35,22,Defense
160,18,436,63,50,Defense
180,17,450,63,55,Midfield
180,18,419,71,57,Midfield
90,25,146,63,52,Defense
130,18,189,65,55,Midfield
160,20,332,26,18,Goalkeeper
70,29,151,63,66,Defense
160,18,300,68,45,Defense
180,18,338,64,61,Forward
190,20,451,71,63,Midfield
140,21,245,64,57,Midfield
120,22,210,67,52,Forward
70,29,102,76,59,Defense
110,21,160,61,26,Defense
170,19,361,67,51,Defense
140,22,231,67,54,Midfield
100,23,195,70,53,Defense
180,19,509,67,57,Midfield
190,19,356,77,55,Midfield
100,22,200,16,9,Goalkeeper
140,21,224,45,64,Forward
160,21,288,62,59,Midfield
190,20,451,55,46,Forward
190,20,451,61,50,Midfield
160,17,340,70,52,Defense
120,20,228,75,45,Defense
160,19,372,64,28,Defense
140,18,305,47,24,Goalkeeper
110,24,228,63,59,Midfield
150,20,233,68,51,Forward
150,19,319,38,12,Goalkeeper
120,20,174,74,53,Forward
90,22,162,29,13,Goalkeeper
110,22,165,65,57,Defense
140,21,217,67,57,Forward
60,31,105,67,50,Defense
180,18,338,76,55,Midfield
180,18,338,68,60,Forward
110,26,157,48,48,Forward
90,26,146,55,55,Midfield
130,18,302,26,14,Goalkeeper
150,19,285,68,60,Midfield
90,23,167,33,12,Goalkeeper
180,18,455,63,58,Midfield
130,20,328,37,21,Goalkeeper
140,21,319,35,11,Goalkeeper
180,19,428,71,59,Forward
130,23,189,61,53,Midfield
70,29,110,41,20,Goalkeeper
70,29,109,56,49,Defense
180,18,356,65,50,Forward
160,19,388,16,7,Goalkeeper
90,24,162,46,17,Goalkeeper
110,20,171,70,55,Defense
140,21,238,70,61,Midfield
50,32,63,44,14,Goalkeeper
110,21,160,63,50,Defense
80,23,106,33,13,Goalkeeper
160,18,380,55,39,Midfield
140,20,329,72,52,Midfield
110,20,215,28,9,Goalkeeper
90,21,158,41,13,Goalkeeper
180,21,419,68,54,Defense
160,20,232,77,55,Forward
190,19,451,75,54,Midfield
180,18,338,61,48,Forward
130,21,286,52,66,Defense
110,21,187,57,26,Defense
190,20,480,69,52,Midfield
180,19,428,70,46,Midfield
150,19,315,69,59,Midfield
140,21,273,64,47,Defense
160,21,380,20,5,Goalkeeper
150,19,315,78,57,Forward
200,18,450,68,47,Forward
90,26,142,38,16,Goalkeeper
110,23,160,75,53,Defense
70,32,95,53,48,Forward
120,21,159,54,56,Forward
160,18,380,57,34,Defense
180,18,374,77,57,Forward
180,20,419,69,21,Defense
180,20,473,66,60,Midfield
170,19,404,63,45,Defense
130,22,306,66,50,Defense
130,22,254,71,49,Forward
170,18,353,55,31,Defense
110,25,245,81,50,Midfield
90,29,194,64,63,Midfield
180,17,356,54,55,Forward
150,20,356,67,55,Defense
130,22,273,49,39,Defense
190,20,356,71,59,Midfield
130,20,215,48,56,Midfield
100,24,145,37,14,Goalkeeper
120,21,222,69,49,Defense
130,21,254,71,61,Midfield
140,20,203,70,49,Defense
120,19,186,60,43,Defense
140,18,266,40,54,Forward
110,24,259,63,40,Midfield
120,20,240,24,13,Goalkeeper
140,20,203,61,57,Midfield
150,22,248,55,48,Forward
120,19,174,36,13,Goalkeeper
160,17,448,17,8,Goalkeeper
150,22,218,61,58,Midfield
170,21,319,84,51,Midfield
150,21,248,67,59,Midfield
160,19,380,67,57,Midfield
150,19,218,71,54,Forward
160,22,248,73,44,Forward
10,41,17,49,13,Goalkeeper
160,21,316,62,51,Midfield
150,17,435,26,13,Goalkeeper
140,19,333,59,54,Midfield
200,19,375,69,53,Forward
120,21,210,31,7,Goalkeeper
140,21,203,69,52,Defense
170,18,361,55,56,Midfield
120,19,174,62,48,Defense
150,20,315,73,52,Forward
120,22,216,53,46,Midfield
90,26,164,70,49,Defense
90,26,119,41,16,Goalkeeper
160,20,272,69,60,Forward
160,19,364,27,9,Goalkeeper
160,20,248,63,55,Forward
140,21,217,73,53,Midfield
130,21,202,62,49,Midfield
180,17,338,63,47,Forward
80,26,106,26,12,Goalkeeper
110,22,171,37,27,Defense
200,20,475,76,42,Forward
120,22,282,75,59,Defense
180,21,338,70,28,Defense
10,37,15,50,8,Goalkeeper
190,19,394,65,60,Forward
140,23,329,64,55,Forward
90,23,131,16,5,Goalkeeper
10,38,13,22,13,Goalkeeper
200,21,475,59,56,Midfield
120,23,282,64,41,Defense
170,19,319,57,25,Defense
120,22,252,68,53,Defense
140,21,259,71,55,Defense
180,17,432,64,31,Defense
140,20,231,66,42,Defense
100,23,210,84,57,Defense
150,19,225,67,66,Midfield
120,23,165,59,59,Midfield
170,19,391,70,42,Defense
80,25,138,32,6,Goalkeeper
200,17,550,72,63,Midfield
170,20,404,65,54,Defense
110,22,165,58,25,Defense
100,24,223,73,45,Defense
190,20,356,51,53,Midfield
190,20,356,64,57,Midfield
150,20,248,66,56,Midfield
190,18,404,64,55,Midfield
110,21,231,53,34,Defense
130,19,247,68,58,Defense
120,22,204,61,29,Defense
170,20,361,53,64,Defense
120,23,282,70,53,Defense
100,24,183,65,53,Defense
130,21,189,83,47,Defense
170,18,472,69,42,Midfield
120,23,282,62,26,Defense
170,21,353,71,66,Forward
140,22,273,49,28,Defense
100,24,195,40,19,Goalkeeper
120,23,228,63,20,Defense
170,20,336,67,55,Midfield
140,23,203,57,51,Midfield
120,25,219,77,56,Forward
90,23,137,32,14,Goalkeeper
130,20,254,61,52,Defense
90,21,176,26,7,Goalkeeper
120,24,219,70,55,Midfield
180,18,455,60,44,Forward
180,19,338,58,35,Defense
110,21,198,38,12,Goalkeeper
190,19,375,70,49,Midfield
110,23,204,39,13,Goalkeeper
130,23,189,60,45,Forward
170,19,336,64,51,Midfield
110,24,259,63,49,Defense
160,19,308,47,15,Goalkeeper
180,19,428,77,46,Defense
190,20,432,73,56,Midfield
130,23,189,74,58,Forward
160,20,352,60,58,Midfield
190,18,456,65,66,Forward
90,21,158,41,20,Goalkeeper
180,21,383,61,57,Defense
190,19,456,80,57,Forward
130,24,228,54,50,Forward
180,17,441,66,59,Midfield
130,21,306,66,56,Midfield
